system:index,anomaly_mm,baseline_mean_mm,pct_of_normal,season,seasonal_rain_mm,year,.geo
41,-43.6788888449346,93.96685972679158,53.516709005780484,Gu_MAM,50.287970881856985,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,-29.599600937179147,93.96685972679158,68.49995730064843,Gu_MAM,64.36725878961244,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,-28.700323160071008,93.96685972679158,69.45697318872087,Gu_MAM,65.26653656672057,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-27.38501926532325,93.96685972679158,70.85672614265803,Gu_MAM,66.58184046146833,1984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,-25.18083186210484,93.96685972679158,73.2024333522286,Gu_MAM,68.78602786468674,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,-24.743216880540842,93.96685972679158,73.66814539457668,Gu_MAM,69.22364284625074,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,-20.201843179486517,93.96685972679158,78.50109789959639,Gu_MAM,73.76501654730507,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,-19.415300607828172,93.96685972679158,79.33814042069926,Gu_MAM,74.55155911896341,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,-17.45897193319601,93.96685972679158,81.4200751371729,Gu_MAM,76.50788779359557,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,-16.288766008367972,93.96685972679158,82.6654141090513,Gu_MAM,77.67809371842361,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
