system:index,anomaly_mm,baseline_mean_mm,pct_of_normal,season,seasonal_rain_mm,year,.geo
0,-10.241821651688852,93.96685972679158,89.10060240230766,Gu_MAM,83.72503807510273,1981.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.9950158750383622,93.96685972679158,102.1231058277768,Gu_MAM,95.96187560182995,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,8.885311189557513,93.96685972679158,109.45579240957028,Gu_MAM,102.8521709163491,1983.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-27.38501926532325,93.96685972679158,70.85672614265803,Gu_MAM,66.58184046146833,1984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.264855303328943,93.96685972679158,103.47447527013406,Gu_MAM,97.23171503012053,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,25.25657046905401,93.96685972679158,126.87816805040354,Gu_MAM,119.2234301958456,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,47.458417094818074,93.96685972679158,150.50548377673076,Gu_MAM,141.42527682160966,1987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,-24.743216880540842,93.96685972679158,73.66814539457668,Gu_MAM,69.22364284625074,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,16.151981386466545,93.96685972679158,117.18901901524472,Gu_MAM,110.11884111325813,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,-0.6504047523990408,93.96685972679158,99.3078360240088,Gu_MAM,93.31645497439254,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,10.990906224486494,93.96685972679158,111.69657712989721,Gu_MAM,104.95776595127808,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-15.806977768843282,93.96685972679158,83.17813555246815,Gu_MAM,78.1598819579483,1992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,6.873688552256482,93.96685972679158,107.31501358270535,Gu_MAM,100.84054827904806,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,18.252356149290833,93.96685972679158,119.4242482960051,Gu_MAM,112.21921587608242,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,-1.9338747689587308,93.96685972679158,97.94196084174627,Gu_MAM,92.03298495783285,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,25.290607022109512,93.96685972679158,126.91438991963963,Gu_MAM,119.2574667489011,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,-3.5028453943056803,93.96685972679158,96.27225449005086,Gu_MAM,90.4640143324859,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,-20.201843179486517,93.96685972679158,78.50109789959639,Gu_MAM,73.76501654730507,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,-28.700323160071008,93.96685972679158,69.45697318872087,Gu_MAM,65.26653656672057,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,-5.59859365665838,93.96685972679158,94.04194875412855,Gu_MAM,88.3682660701332,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,-2.448887093554319,93.96685972679158,97.39388216156797,Gu_MAM,91.51797263323726,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,-25.18083186210484,93.96685972679158,73.2024333522286,Gu_MAM,68.78602786468674,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,-7.918674652541824,93.96685972679158,91.57290700618776,Gu_MAM,86.04818507424976,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,-19.415300607828172,93.96685972679158,79.33814042069926,Gu_MAM,74.55155911896341,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,27.589783809988873,93.96685972679158,129.36118530533648,Gu_MAM,121.55664353678046,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,-16.288766008367972,93.96685972679158,82.6654141090513,Gu_MAM,77.67809371842361,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,8.4457069858951,93.96685972679158,108.98796342716035,Gu_MAM,102.41256671268668,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,-17.45897193319601,93.96685972679158,81.4200751371729,Gu_MAM,76.50788779359557,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,-29.599600937179147,93.96685972679158,68.49995730064843,Gu_MAM,64.36725878961244,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,56.62075351075616,93.96685972679158,160.25608781157618,Gu_MAM,150.58761323754774,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,-9.422288985261034,93.96685972679158,89.97275314652813,Gu_MAM,84.54457074153055,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,17.0182482227126,93.96685972679158,118.11090449568403,Gu_MAM,110.98510794950418,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,11.669283678574146,93.96685972679158,112.41850979430681,Gu_MAM,105.63614340536573,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,-15.50145463067551,93.96685972679158,83.50327479736372,Gu_MAM,78.46540509611607,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,-2.3173458619561984,93.96685972679158,97.53386899520333,Gu_MAM,91.64951386483538,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,9.015574488227685,93.96685972679158,109.59441926062065,Gu_MAM,102.98243421501927,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,-9.584658090790072,93.96685972679158,89.79995913595768,Gu_MAM,84.38220163600151,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,43.36393517622027,93.96685972679158,146.1481157317599,Gu_MAM,137.33079490301185,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,-4.9619584998905,93.96685972679158,94.71945905788766,Gu_MAM,89.00490122690108,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,49.5758709469864,93.96685972679158,152.75888870941108,Gu_MAM,143.54273067377798,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,20.963452345845482,93.96685972679158,122.30941036743876,Gu_MAM,114.93031207263707,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,-43.6788888449346,93.96685972679158,53.516709005780484,Gu_MAM,50.287970881856985,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,59.61688751126668,93.96685972679158,163.44458853323675,Gu_MAM,153.58374723805827,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,16.537096820123068,93.96685972679158,117.59886077730451,Gu_MAM,110.50395654691465,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
