year,seasonal_rain_mm,anomaly_mm,pct_of_normal
1986,17.077707355713272,-28.508675048872476,37.46230004422405
1984,17.569893965485075,-28.016488439100673,38.54197907074468
1985,20.41429066456668,-25.172091740019063,44.78155446375827
1988,21.25808615049918,-24.328296254086567,46.63253592230809
2010,21.29062256507401,-24.29575983951174,46.70390902291094
