year,seasonal_rain_mm,anomaly_mm,pct_of_normal
2022,50.287970881856985,-43.6788888449346,53.51670900578048
2009,64.36725878961244,-29.599600937179147,68.49995730064843
1999,65.26653656672057,-28.700323160071008,69.45697318872087
1984,66.58184046146833,-27.38501926532325,70.85672614265803
2002,68.78602786468674,-25.18083186210484,73.2024333522286
